_id,Voted_Against_Crew,Voted_Against_Impo,Voting_rate
Wolf,3,7,41.66666666666667
dokomoy,43,142,51.675977653631286
zlubars,31,91,52.36051502145923
Squirrel_Loot,3,11,50
Ahamkara,38,106,51.42857142857142
bsweitz,50,101,52.7972027972028
CoolJets,17,24,50
Mullibok,6,7,50
LSV,32,80,54.90196078431373
Eirik,6,20,44.827586206896555
JohnnyCatz,0,0,0
Ambiance,1,4,55.55555555555556
Seven,8,16,54.54545454545454
DaveWilliams,7,7,41.17647058823529
Zhoola,16,51,56.779661016949156
TomRoss,4,9,46.42857142857143
LeeSharpe,3,3,85.71428571428571
honk,15,36,54.83870967741935
Bonde,1,0,100
Rada,3,25,57.14285714285714
Murklurker,2,0,40
MurkLurker,1,0,20
Skadj,0,2,33.33333333333333
niphette,1,0,50
ZJ,1,6,53.84615384615385
LadyAtarka,13,55,46.57534246575342
Iroknight,3,12,55.55555555555556
Seabats,10,11,51.21951219512195
Zyla,9,22,53.44827586206896
Emily,4,13,60.71428571428571
GrahamLRR,5,5,45.45454545454545
Stunlock,1,11,60
Stranjak,0,2,100
Saku,3,7,40
Andrew,35,96,53.90946502057613
DoubleFried,15,54,56.09756097560976
TomM,14,52,57.391304347826086
ScaldingHotSoup,1,7,44.44444444444444
Ian,36,66,50
Kyle,6,14,55.55555555555556
Dix,1,12,52
Ben P,2,2,50
Rafon,1,6,70
Nairbly,4,23,50
Eric,7,20,57.446808510638306
jorbs,20,90,55.27638190954774
Keaton,25,96,51.0548523206751
Nate,0,2,100
Pojo,31,78,50.697674418604656
Nick,10,24,52.307692307692314
Platypus,10,35,52.32558139534884
AbeyBaby,1,1,40
samie,1,1,28.57142857142857
nucleosynth,3,11,46.666666666666664
SamSherman,2,0,66.66666666666666
GGards,1,1,33.33333333333333
julie,0,2,28.57142857142857
DuckMyInt,0,0,0
coco,6,6,54.54545454545454
Aberdasher,0,4,80
rettoto,0,1,50
Bene,2,3,50
Ryuu,7,5,44.44444444444444
Riley,2,1,18.75
flutter,3,17,48.78048780487805
Trotske,2,8,62.5
BRazz,8,25,46.478873239436616
Sam,60,142,52.0618556701031
Bim,2,4,66.66666666666666
HGRose,14,31,53.57142857142857
Isaac,0,4,57.14285714285714
Pheylop,43,136,54.57317073170732
Scott,24,60,51.533742331288344
Memes,24,46,55.118110236220474
Colossus,0,1,14.285714285714285
Mani,29,88,57.073170731707314
PANCAKE,2,2,66.66666666666666
SwayingRug,1,0,33.33333333333333
DBatterskull,26,31,46.72131147540984
Whyin,1,0,33.33333333333333
AshlenRose,1,4,45.45454545454545
yoinkster,4,7,45.83333333333333
sponsz,0,3,33.33333333333333
5up,2,15,58.620689655172406
Fader,10,23,45.83333333333333
Voxy,1,5,31.57894736842105
FoxBox,10,9,59.375
synthe,0,7,87.5
BradNelson,2,3,45.45454545454545
BennyB,27,52,47.30538922155689
Barnabus,31,44,48.38709677419355
Adrien,0,0,0
dcsports8,11,30,57.74647887323944
TheAsianAvenger,5,5,52.63157894736842
Dreamy,14,32,56.79012345679012
Gaby,24,24,49.48453608247423
BK,56,178,53.91705069124424
Toffel,5,14,48.717948717948715
Oltanya,26,70,51.61290322580645
wrapter,24,56,49.68944099378882
Kibler,10,27,52.85714285714286
Bloody,33,93,47.19101123595505
LegenVD,7,8,51.724137931034484
hafu,0,4,50
Corey,4,7,45.83333333333333
Jason,14,40,43.2
Chosaucer,23,70,51.955307262569825
